"employer_id","Presentation","Communication with stakeholders","Software engineering","Pipeline","Collaboration...5","Front-end","Tools","Self-learn","Math/ML","Problem-solving","Collaboration...11","SWE","Communication to stakeholders"
81,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,0,1
82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
83,NA,NA,1,NA,NA,NA,NA,1,NA,NA,0,1,0
84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
85,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,0,0
86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
87,NA,NA,NA,NA,NA,NA,NA,1,1,NA,0,0,0
88,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,0,0
89,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,0,1
90,NA,NA,1,NA,NA,NA,1,NA,NA,NA,0,1,0
91,NA,1,NA,NA,1,NA,NA,NA,NA,1,1,0,1
92,NA,NA,NA,NA,NA,NA,NA,1,1,NA,0,0,0
93,NA,1,NA,NA,1,NA,NA,1,NA,1,1,0,1
94,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,0,0
95,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,0,1
96,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,0,0
97,NA,1,1,NA,1,NA,NA,NA,NA,NA,1,1,1
98,1,NA,1,NA,NA,NA,1,NA,1,NA,0,1,1
99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
100,NA,NA,NA,NA,NA,NA,NA,1,1,NA,0,0,0
101,NA,NA,1,1,NA,NA,NA,NA,NA,NA,0,1,0
102,NA,1,NA,NA,NA,NA,NA,1,NA,NA,0,0,1
103,NA,NA,NA,NA,NA,NA,1,1,NA,NA,0,1,0
104,NA,1,NA,NA,1,NA,NA,1,NA,1,1,0,1
105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
106,NA,NA,1,NA,NA,NA,NA,NA,NA,1,0,1,0
107,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,0,0
108,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,0,1
109,NA,NA,NA,NA,NA,NA,1,NA,1,NA,0,1,0
110,NA,1,NA,NA,1,NA,NA,1,NA,1,1,0,1
111,NA,NA,NA,NA,NA,NA,NA,1,1,NA,0,0,0
112,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,0,0
113,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,0,1
114,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,0,0
115,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,0,0
